continent,location,total_cases,total_deaths
NorthAmerica,United States,4112529,145546
SouthAmerica,Brazil,2343366,85238
Asia,India,1336861,31358
Europe,Russia,800849,13046
Africa,South Africa,421996,6343
NorthAmerica,Mexico,378285,42645
SouthAmerica,Peru,375961,17843
SouthAmerica,Chile,341304,8914
Europe,United Kingdom,297914,45677
Asia,Iran,284034,15074
Europe,Spain,272421,28432
Asia,Pakistan,271887,5787
Asia,Saudi Arabia,262772,2672
Europe,Italy,245590,35097
SouthAmerica,Colombia,233541,7975
Asia,Turkey,224252,5580
Asia,Bangladesh,218658,2836
Europe,Germany,204964,9118
Europe,France,180528,30192
SouthAmerica,Argentina,148014,2722
NorthAmerica,Canada,113193,8881
Asia,Qatar,108638,164
Asia,Iraq,104711,4212
Asia,Indonesia,95418,4665
Africa,Egypt,91072,4518
Asia,China,86202,4650
Asia,Kazakhstan,80226,585
SouthAmerica,Ecuador,79049,5468
Europe,Sweden,78997,5697
Asia,Philippines,76444,1879
Asia,Oman,73791,359
Europe,Belarus,66846,519
SouthAmerica,Bolivia,66456,2473
Europe,Belgium,65863,9820
Europe,Ukraine,63929,1590
Asia,Kuwait,62625,425
Asia,Israel,59475,448
NorthAmerica,Dominican Republic,59077,1036
Asia,United Arab Emirates,58249,343
NorthAmerica,Panama,57993,1250
Europe,Netherlands,52595,6139
Europe,Portugal,49692,1712
Asia,Singapore,49375,27
NorthAmerica,Guatemala,43283,1669
Europe,Romania,42394,2150
Europe,Poland,42038,1655
Africa,Nigeria,39539,845
Asia,Bahrain,38458,136
NorthAmerica,Honduras,37559,1061
Asia,Armenia,36996,700
Asia,Afghanistan,36036,1246
Europe,Switzerland,34067,1699
Asia,Kyrgyzstan,31564,1249
Africa,Ghana,31057,161
Asia,Azerbaijan,29312,400
Asia,Japan,28786,993
Africa,Algeria,26159,1136
Europe,Ireland,25845,1763
Europe,Serbia,22852,518
Europe,Moldova,22483,726
Europe,Austria,20229,711
Asia,Uzbekistan,19653,107
Africa,Morocco,18834,299
Asia,Nepal,18374,44
Africa,Cameroon,16708,385
Africa,Kenya,16268,274
Africa,Cote d'Ivoire,15253,94
Europe,Czech Republic,15081,368
SouthAmerica,Venezuela,14263,134
Asia,South Korea,14092,298
NorthAmerica,Puerto Rico,13967,191
NorthAmerica,El Salvador,13792,390
NorthAmerica,Costa Rica,13669,87
Oceania,Australia,13595,139
Europe,Denmark,13438,613
Asia,Palestine,12427,71
Africa,Ethiopia,11933,197
Africa,Sudan,11237,708
Europe,Bulgaria,10123,337
Europe,Macedonia,9797,451
Europe,Bosnia and Herzegovina,9462,274
Africa,Senegal,9422,182
Europe,Norway,9085,255
Asia,Malaysia,8861,123
Africa,Democratic Republic of Congo,8766,200
Africa,Madagascar,8741,76
Europe,Finland,7380,329
NorthAmerica,Haiti,7260,156
Asia,Tajikistan,7104,58
Africa,Gabon,6984,49
Africa,Guinea,6867,42
Europe,Kosovo,6680,164
Africa,Mauritania,6067,156
Europe,Luxembourg,6056,112
Africa,Djibouti,5039,58
